ticker,date,open,high,low,close
BLLN,2025-11-07,108.7,113.06,97.5,100.36
BLLN,2025-11-10,101.53,107.09,93.275,102.225
BLLN,2025-11-11,104.5,108.0097,100.5,103.53
BLLN,2025-11-12,105.83,107.5,100.0,101.58
BLLN,2025-11-13,100.56,102.0299,89.05,89.55
BLLN,2025-11-14,88.12,93.43,88.0001,89.95
BLLN,2025-11-17,94.97,102.9999,90.37,92.84
BLLN,2025-11-18,92.98,100.0,92.52,98.775
BLLN,2025-11-19,101.99,101.99,92.05,96.03
BLLN,2025-11-20,99.0,99.99,95.0,96.33
BLLN,2025-11-21,95.08,114.25,93.0,109.79
BLLN,2025-11-24,112.24,127.9999,110.99,120.09
BLLN,2025-11-25,119.69,129.9,118.99,129.9
BLLN,2025-11-26,131.0,138.7,123.51,127.85
BLLN,2025-11-28,129.5,130.96,124.21,130.18
