ticker,date,open,high,low,close
MEHA,2025-11-07,0.9975,0.9975,0.62,0.6899
MEHA,2025-11-10,0.7,0.74,0.605,0.7006
MEHA,2025-11-11,0.6677,0.69,0.5629,0.6197
MEHA,2025-11-12,0.613,0.617399,0.521,0.5798
MEHA,2025-11-13,0.505,0.5289,0.43,0.436
MEHA,2025-11-14,0.4132,0.429,0.3681,0.4197
MEHA,2025-11-17,0.425,0.4435,0.35,0.3712
MEHA,2025-11-18,0.3511,0.4489,0.3303,0.4478
MEHA,2025-11-19,0.3995,0.505,0.381,0.48941
MEHA,2025-11-20,0.4637,0.48,0.3327,0.3682
MEHA,2025-11-21,0.3565,0.3888,0.3502,0.3522
MEHA,2025-11-24,0.3571,0.393,0.3502,0.38
MEHA,2025-11-25,0.377,0.4002,0.35,0.37
MEHA,2025-11-26,0.3995,0.42,0.37,0.4126
MEHA,2025-11-28,0.41,0.41745,0.38,0.4077
