ticker,date,open,high,low,close
NOMA,2025-11-03,9.07,14.49,7.51,11.5
NOMA,2025-11-04,10.0,10.95,7.74,9.03
NOMA,2025-11-05,8.5,9.7999,8.0,9.33
NOMA,2025-11-06,8.95,9.1551,7.31,7.73
NOMA,2025-11-07,7.43,7.8,6.25,7.06
NOMA,2025-11-10,7.0,8.08,6.0,6.515
NOMA,2025-11-11,6.18,7.2,5.15,6.99
NOMA,2025-11-12,7.02,7.5,5.82,6.5
NOMA,2025-11-13,6.4,6.92,5.61,6.3
NOMA,2025-11-14,6.0,7.45,5.14,7.45
NOMA,2025-11-17,7.11,8.0,6.62,7.72
NOMA,2025-11-18,7.797,9.6,7.02,9.025
NOMA,2025-11-19,8.4,10.0,8.4,9.15
NOMA,2025-11-20,9.25,9.25,8.35,8.96
NOMA,2025-11-21,8.43,9.0,7.8,8.71
NOMA,2025-11-24,8.16,8.92,7.99,8.05
NOMA,2025-11-25,8.85,8.92,7.17,7.29
NOMA,2025-11-26,7.56,8.8,7.19,8.33
NOMA,2025-11-28,8.6,8.9,8.34,8.78
