ticker,date,open,high,low,close
HVMC,2025-10-02,10.0,10.0,9.96,9.96
HVMC,2025-10-03,9.97,9.97,9.95,9.95
HVMC,2025-10-06,9.95,9.97,9.95,9.95
HVMC,2025-10-07,9.97,9.97,9.96,9.96
HVMC,2025-10-08,10.0,10.0,9.94,9.9499
HVMC,2025-10-09,9.95,9.95,9.94,9.94
HVMC,2025-10-10,9.94,9.94,9.93,9.94
HVMC,2025-10-13,9.95,9.96,9.95,9.96
HVMC,2025-10-14,9.97,10.0,9.97,9.97
HVMC,2025-10-15,9.97,10.0,9.97,9.97
HVMC,2025-10-16,9.97,9.98,9.97,9.98
HVMC,2025-10-23,9.98,9.99,9.98,9.99
HVMC,2025-10-24,9.98,9.98,9.98,9.98
HVMC,2025-10-27,9.98,9.98,9.98,9.98
HVMC,2025-10-28,10.0,10.0,9.99,10.0
HVMC,2025-10-29,9.99,9.99,9.99,9.99
HVMC,2025-10-30,9.99,10.0,9.99,9.99
HVMC,2025-10-31,9.99,10.0374,9.99,9.99
HVMC,2025-11-03,10.01,10.01,9.99,9.99
HVMC,2025-11-07,10.0,10.0,9.99,10.0
HVMC,2025-11-12,10.01,10.01,10.0099,10.0099
HVMC,2025-11-13,10.01,10.01,10.01,10.01
HVMC,2025-11-17,10.01,10.01,10.0001,10.01
HVMC,2025-11-18,10.01,10.01,10.01,10.01
HVMC,2025-11-24,10.01,10.01,10.01,10.01
HVMC,2025-11-26,10.01,10.01,10.01,10.01
HVMC,2025-11-28,10.01,10.017,10.01,10.01
